dataset_uuid,Cell Ontology ID,Cell Type,Count,Total Count,Percentage
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000698,Kidney.kidney resident macrophage,1030,15990,6.44
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000768,Kidney.kidney connecting tubule epithelial cell,976,15990,6.1
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1001318,Kidney.renal interstitial pericyte,591,15990,3.7
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,451,15990,2.82
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1001033,Kidney.peritubular capillary endothelial cell,276,15990,1.73
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000714,Kidney.kidney cortex collecting duct principal cell,198,15990,1.24
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000412,Kidney.endothelial cell of arteriole,103,15990,0.64
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000715,Kidney.kidney cortex collecting duct intercalated cell,97,15990,0.61
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000875,Kidney.non-classical monocyte,82,15990,0.51
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,58,15990,0.36
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1001285,Kidney.vasa recta descending limb cell,58,15990,0.36
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000650,Kidney.mesangial cell,53,15990,0.33
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000452,Kidney.parietal epithelial cell,43,15990,0.27
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0011031,Kidney.monocyte-derived dendritic cell,43,15990,0.27
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0002138,Kidney.endothelial cell of lymphatic vessel,38,15990,0.24
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:4030013,Kidney.kidney loop of Henle long descending thin limb outer medulla epithelial cell,27,15990,0.17
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000775,Kidney.neutrophil,17,15990,0.11
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000084,Kidney.T cell,7,15990,0.04
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000653,Kidney.podocyte,6,15990,0.04
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1001131,Kidney.vasa recta ascending limb cell,5,15990,0.03
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000716,Kidney.kidney outer medulla collecting duct principal cell,5,15990,0.03
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1001005,Kidney.glomerular capillary endothelial cell,4,15990,0.03
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000236,Kidney.B cell,2,15990,0.01
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:4030018,Kidney.kidney connecting tubule principal cell,1,15990,0.01
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000990,Kidney.conventional dendritic cell,1,15990,0.01
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:1000850,Kidney.macula densa epithelial cell,1,15990,0.01
e5f7a14d93659bd0b8dc2819ffa9bc4b,CL:0000786,Kidney.plasma cell,1,15990,0.01
6e1db473492095ccc2f1393d7259b9c0,CL:1000597,Kidney.papillary tips cell,3276,5979,54.79
6e1db473492095ccc2f1393d7259b9c0,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,1150,5979,19.23
6e1db473492095ccc2f1393d7259b9c0,CL:4030022,Kidney.renal medullary fibroblast,467,5979,7.81
6e1db473492095ccc2f1393d7259b9c0,CL:1000714,Kidney.kidney cortex collecting duct principal cell,284,5979,4.75
6e1db473492095ccc2f1393d7259b9c0,CL:1001318,Kidney.renal interstitial pericyte,214,5979,3.58
6e1db473492095ccc2f1393d7259b9c0,CL:0000057,Kidney.kidney interstitial fibroblast,175,5979,2.93
6e1db473492095ccc2f1393d7259b9c0,CL:1000768,Kidney.kidney connecting tubule epithelial cell,153,5979,2.56
6e1db473492095ccc2f1393d7259b9c0,CL:1001033,Kidney.peritubular capillary endothelial cell,54,5979,0.9
6e1db473492095ccc2f1393d7259b9c0,CL:1000698,Kidney.kidney resident macrophage,40,5979,0.67
6e1db473492095ccc2f1393d7259b9c0,CL:1001285,Kidney.vasa recta descending limb cell,37,5979,0.62
6e1db473492095ccc2f1393d7259b9c0,CL:4030018,Kidney.kidney connecting tubule principal cell,28,5979,0.47
6e1db473492095ccc2f1393d7259b9c0,CL:1000412,Kidney.endothelial cell of arteriole,28,5979,0.47
6e1db473492095ccc2f1393d7259b9c0,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,23,5979,0.38
6e1db473492095ccc2f1393d7259b9c0,CL:0002138,Kidney.endothelial cell of lymphatic vessel,13,5979,0.22
6e1db473492095ccc2f1393d7259b9c0,CL:0000650,Kidney.mesangial cell,8,5979,0.13
6e1db473492095ccc2f1393d7259b9c0,CL:1001131,Kidney.vasa recta ascending limb cell,7,5979,0.12
6e1db473492095ccc2f1393d7259b9c0,CL:0000814,Kidney.mature NK T cell,6,5979,0.1
6e1db473492095ccc2f1393d7259b9c0,CL:0000653,Kidney.podocyte,3,5979,0.05
6e1db473492095ccc2f1393d7259b9c0,CL:1000452,Kidney.parietal epithelial cell,3,5979,0.05
6e1db473492095ccc2f1393d7259b9c0,CL:0011031,Kidney.monocyte-derived dendritic cell,3,5979,0.05
6e1db473492095ccc2f1393d7259b9c0,CL:0000084,Kidney.T cell,2,5979,0.03
6e1db473492095ccc2f1393d7259b9c0,CL:0000786,Kidney.plasma cell,2,5979,0.03
6e1db473492095ccc2f1393d7259b9c0,CL:0000236,Kidney.B cell,1,5979,0.02
6e1db473492095ccc2f1393d7259b9c0,CL:1000715,Kidney.kidney cortex collecting duct intercalated cell,1,5979,0.02
6e1db473492095ccc2f1393d7259b9c0,CL:1000850,Kidney.macula densa epithelial cell,1,5979,0.02
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000597,Kidney.papillary tips cell,3415,6999,48.79
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000057,Kidney.kidney interstitial fibroblast,857,6999,12.24
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,742,6999,10.6
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1001318,Kidney.renal interstitial pericyte,630,6999,9.0
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:4030022,Kidney.renal medullary fibroblast,628,6999,8.97
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1001033,Kidney.peritubular capillary endothelial cell,177,6999,2.53
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000650,Kidney.mesangial cell,99,6999,1.41
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0011031,Kidney.monocyte-derived dendritic cell,97,6999,1.39
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000698,Kidney.kidney resident macrophage,59,6999,0.84
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0002138,Kidney.endothelial cell of lymphatic vessel,57,6999,0.81
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1001285,Kidney.vasa recta descending limb cell,53,6999,0.76
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000412,Kidney.endothelial cell of arteriole,51,6999,0.73
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000714,Kidney.kidney cortex collecting duct principal cell,44,6999,0.63
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000236,Kidney.B cell,37,6999,0.53
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000452,Kidney.parietal epithelial cell,14,6999,0.2
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000084,Kidney.T cell,14,6999,0.2
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1000768,Kidney.kidney connecting tubule epithelial cell,10,6999,0.14
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000653,Kidney.podocyte,6,6999,0.09
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000875,Kidney.non-classical monocyte,3,6999,0.04
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:4030014,Kidney.kidney loop of Henle long descending thin limb inner medulla epithelial cell,1,6999,0.01
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,1,6999,0.01
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000775,Kidney.neutrophil,1,6999,0.01
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000814,Kidney.mature NK T cell,1,6999,0.01
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:0000786,Kidney.plasma cell,1,6999,0.01
62efbe0a6abd0bcf53ab9ab29e7cd73f,CL:1001131,Kidney.vasa recta ascending limb cell,1,6999,0.01
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001109,Kidney.kidney loop of Henle cortical thick ascending limb epithelial cell,1348,2981,45.22
1dc16eb0270ff73291dd45b6a96aa3c0,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,279,2981,9.36
1dc16eb0270ff73291dd45b6a96aa3c0,CL:4030016,Kidney.epithelial cell of early distal convoluted tubule,218,2981,7.31
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001108,Kidney.kidney loop of Henle medullary thick ascending limb epithelial cell,210,2981,7.04
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000714,Kidney.kidney cortex collecting duct principal cell,176,2981,5.9
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001033,Kidney.peritubular capillary endothelial cell,176,2981,5.9
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001285,Kidney.vasa recta descending limb cell,116,2981,3.89
1dc16eb0270ff73291dd45b6a96aa3c0,CL:4030022,Kidney.renal medullary fibroblast,72,2981,2.42
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000717,Kidney.kidney outer medulla collecting duct intercalated cell,61,2981,2.05
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001107,Kidney.kidney loop of Henle thin ascending limb epithelial cell,57,2981,1.91
1dc16eb0270ff73291dd45b6a96aa3c0,CL:4030013,Kidney.kidney loop of Henle long descending thin limb outer medulla epithelial cell,37,2981,1.24
1dc16eb0270ff73291dd45b6a96aa3c0,CL:0000057,Kidney.kidney interstitial fibroblast,32,2981,1.07
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001131,Kidney.vasa recta ascending limb cell,30,2981,1.01
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000715,Kidney.kidney cortex collecting duct intercalated cell,30,2981,1.01
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001318,Kidney.renal interstitial pericyte,28,2981,0.94
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000850,Kidney.macula densa epithelial cell,25,2981,0.84
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000716,Kidney.kidney outer medulla collecting duct principal cell,21,2981,0.7
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,15,2981,0.5
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1001005,Kidney.glomerular capillary endothelial cell,11,2981,0.37
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000452,Kidney.parietal epithelial cell,7,2981,0.23
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000768,Kidney.kidney connecting tubule epithelial cell,5,2981,0.17
1dc16eb0270ff73291dd45b6a96aa3c0,CL:0002138,Kidney.endothelial cell of lymphatic vessel,4,2981,0.13
1dc16eb0270ff73291dd45b6a96aa3c0,CL:0000650,Kidney.mesangial cell,4,2981,0.13
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000698,Kidney.kidney resident macrophage,4,2981,0.13
1dc16eb0270ff73291dd45b6a96aa3c0,CL:1000412,Kidney.endothelial cell of arteriole,4,2981,0.13
1dc16eb0270ff73291dd45b6a96aa3c0,CL:4030011,Kidney.epithelial cell of proximal tubule segment 3,3,2981,0.1
