id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	size_in_bytes	uncompressed_size_in_bytes	sha256	md5	filename	file_format	compression_format	data_type	assay_type	analysis_type	mime_type	bundle_collection_id_namespace	bundle_collection_local_id	dbgap_study_id
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90254015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	b2bf70b0-f8c2-508d-aad3-ab67706d42bb		3771517052		42fd721d64da319ba453e2e350ee0e7cfee3abb3500a375822517ad4370e9264		90254015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90258015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	418de7bf-d5a5-5575-9d7c-b31e38672be6		3583530643		ac241798cc581087b98d4b94ff586a3f74bc32c196acfb1bfaf034b500040a30		90258015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90259015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	cda09f69-ca0c-5e04-9ae0-fb3028bf13d1		2872266221		a2ee5f7073658b38f07611180e01dcc706405e2df99cc62bd4944dbc9158b149		90259015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90265015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	56585397-aea3-51c2-9ce5-2f878a869ca4		3636909829		611e3bab1a8e71ca0585f493d9bf891036561c206296c54f278795f95868078a		90265015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90266015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	bdea237b-7799-52a7-8a44-058e899f5a66		3356307246		ba66943a7b28b737b54fd4fba09c7a523afa86b7a7083fb444d1c0bcaca5e754		90266015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90267015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	0aa10f8d-3c13-5963-97af-14e3a972c5cd		3488266541		99c0addcf1322d93c705111080eb7683d0e92842b9c290f6a8a9e04e8efde743		90267015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90280015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	53c993e7-0301-58bb-81e8-b1794e164e50		3761945171		1d1070dc097e312f1e7dd9e8ecc57bce6d7b0f0055567b7d6190c3a1d0185ba2		90280015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90281015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	c07dbc42-6b17-523f-b1b3-5a7605797421		2978190584		49c444d8c91d37dd584710d9d085aedf9f1a0d15ce8061a636e4230b5cb53ce3		90281015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90283015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	c2edf5e5-4a67-534e-9123-d3dd816dd9cb		3688725297		d32abbf2369a03eff9971626f5e6247adc8433024666f0876be17fefbe225a9c		90283015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90289015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	9c3cc272-52a8-5162-b37d-190c1d8b6e91		3738019982		39c4ed3ea6494de1bb42b569a9257b057d85207652e5e2f2c332eeabcb4b5b45		90289015204_R1.trim.bam				OBI:0003089		application/octet-stream			
