file_id_namespace	file_local_id	collection_id_namespace	collection_local_id
https://data.4dnucleome.org	49f843b4-c45f-46a8-999f-29be0ce2720b	https://data.4dnucleome.org	48626de2-e5f8-45c4-85f0-ab5efa3c250a
https://data.4dnucleome.org	b5c5bd9f-ae70-455f-9e3a-8a35e3f1fdca	https://data.4dnucleome.org	a75691a3-e3a1-46cf-a8c1-dbcb6a078b61
https://data.4dnucleome.org	90200804-6e5d-4f1a-bb50-dceb97e8c593	https://data.4dnucleome.org	a75691a3-e3a1-46cf-a8c1-dbcb6a078b61
https://data.4dnucleome.org	7d15e16c-9a03-479e-ab03-4c9c663baf08	https://data.4dnucleome.org	a75691a3-e3a1-46cf-a8c1-dbcb6a078b61
https://data.4dnucleome.org	4a426ee2-21fc-48e0-9063-530d121ead76	https://data.4dnucleome.org	0c4acfb1-c6c3-4e0e-a3de-8f297d420755
https://data.4dnucleome.org	cde82ebe-d56b-4ec5-9376-055c6326554e	https://data.4dnucleome.org	0c4acfb1-c6c3-4e0e-a3de-8f297d420755
https://data.4dnucleome.org	7013b34f-4964-4437-bbe2-011206005d03	https://data.4dnucleome.org	0c4acfb1-c6c3-4e0e-a3de-8f297d420755
https://data.4dnucleome.org	85dc8be7-cb03-4426-a107-1e7ca171adc1	https://data.4dnucleome.org	347d2ec7-cb22-40de-9e2d-fbd4a4cd2ce8
https://data.4dnucleome.org	ee7757f7-b658-4e5e-9f20-e58c7ff0c903	https://data.4dnucleome.org	347d2ec7-cb22-40de-9e2d-fbd4a4cd2ce8
https://data.4dnucleome.org	0be42430-970b-4944-8c7b-288c0bd215b6	https://data.4dnucleome.org	347d2ec7-cb22-40de-9e2d-fbd4a4cd2ce8
https://data.4dnucleome.org	189a312a-1a26-4267-ba39-90f3838d25de	https://data.4dnucleome.org	2de1813e-b412-4308-adaf-7cc28dc143d4
https://data.4dnucleome.org	4edc44ec-c4b3-4d68-ba88-67ad07a847af	https://data.4dnucleome.org	2de1813e-b412-4308-adaf-7cc28dc143d4
https://data.4dnucleome.org	9b7d38c1-51c6-43e0-b3f3-9813f0e4d449	https://data.4dnucleome.org	2de1813e-b412-4308-adaf-7cc28dc143d4
https://data.4dnucleome.org	b587ac33-9c8f-43c9-a2fc-b8d4d2f64142	https://data.4dnucleome.org	27963cf6-d0b5-44e2-b5be-03b4de343e4a
