sex,race,cause_of_death,age_group,age_years,donor_count
,White,,,25,16
,White,,,30,23
,White,,,35,21
,White,,,40,18
,White,,,45,21
,White,,,5,2
,White,,,50,15
,White,,,55,31
,White,,,60,23
,White,,,65,32
,White,,,70,20
,White,,,75,17
,White,,,80,9
,White,,,85,2
,White,,,90,2
,,Anoxia,10-19,,3
,,Anoxia,20-29,,7
,,Anoxia,30-39,,5
,,Anoxia,40-49,,4
,,Anoxia,50-59,,6
,,Anoxia,60-69,,3
,,Asphyxiation,10-19,,2
,,Cardiovascular,00-9,,1
,,Cardiovascular,30-39,,2
,,Cerebral edema,20-29,,1
,,Cerebral edema,40-49,,1
,,Cerebrovascular accident,00-9,,1
,,Cerebrovascular accident,20-29,,2
,,Cerebrovascular accident,30-39,,3
,,Cerebrovascular accident,40-49,,5
,,Cerebrovascular accident,50-59,,6
,,Cerebrovascular accident,60-69,,2
,,Cerebrovascular accident,70-79,,1
,,Gunshot wound,20-29,,1
,,Gunshot wound,40-49,,1
,,Head trauma,00-9,,1
,,Head trauma,10-19,,8
,,Head trauma,20-29,,7
,,Head trauma,30-39,,1
,,Head trauma,40-49,,1
,,Head trauma,50-59,,4
,,Head trauma,60-69,,1
,,Traumatic injury,20-29,,2
,,Traumatic injury,30-39,,1
,,Anoxia,,10,1
,,Anoxia,,15,1
,,Anoxia,,20,2
,,Anoxia,,25,4
,,Anoxia,,30,4
,,Anoxia,,35,3
,,Anoxia,,45,3
,,Anoxia,,50,2
,,Anoxia,,55,5
,,Anoxia,,60,2
,,Anoxia,,65,1
,,Asphyxiation,,15,2
,,Cardiovascular,,0,1
,,Cardiovascular,,30,1
,,Cardiovascular,,35,1
,,Cerebral edema,,25,1
,,Cerebral edema,,45,1
,,Cerebrovascular accident,,0,1
,,Cerebrovascular accident,,25,2
,,Cerebrovascular accident,,35,2
,,Cerebrovascular accident,,40,3
,,Cerebrovascular accident,,45,3
,,Cerebrovascular accident,,50,1
,,Cerebrovascular accident,,55,3
,,Cerebrovascular accident,,60,3
,,Cerebrovascular accident,,65,1
,,Cerebrovascular accident,,80,1
,,Gunshot wound,,20,1
,,Gunshot wound,,50,1
,,Head trauma,,10,2
,,Head trauma,,15,2
,,Head trauma,,20,9
,,Head trauma,,25,2
,,Head trauma,,30,1
,,Head trauma,,40,1
,,Head trauma,,45,1
,,Head trauma,,55,3
,,Head trauma,,60,1
,,Head trauma,,65,1
,,Traumatic injury,,25,2
,,Traumatic injury,,30,1
,,,00-9,0,21
,,,00-9,10,1
,,,00-9,5,7
,,,10-19,10,6
,,,10-19,15,13
,,,10-19,20,13
,,,20-29,20,22
,,,20-29,25,48
,,,20-29,30,18
,,,30-39,30,26
,,,30-39,35,46
,,,30-39,40,18
,,,40-49,40,20
,,,40-49,45,28
,,,40-49,50,9
,,,50-59,50,15
,,,50-59,55,48
,,,50-59,60,15
,,,60-69,60,17
,,,60-69,65,44
,,,60-69,70,9
,,,70-79,70,17
,,,70-79,75,19
,,,70-79,80,7
,,,80-89,80,7
,,,80-89,85,3
,,,90-99,90,2
